selection_role,adapter_word,milestone,comparison,cosine,relative_frobenius,reference_identity_distance,candidate_identity_distance
primary,rock,2,milestone_vs_n100,0.8568700551986694,0.6165230870246887,0.9607113003730774,1.081520676612854
primary,rock,10,milestone_vs_n100,0.9690032601356506,0.2706966996192932,0.9607113003730774,0.9841479659080505
primary,rock,25,milestone_vs_n100,0.9882407784461975,0.17920401692390442,0.9607113003730774,0.9713124632835388
primary,rock,50,milestone_vs_n100,0.9964714050292969,0.12473756074905396,0.9607113003730774,0.9576404094696045
primary,rock,100,milestone_vs_n100,1.0042634010314941,0.0,0.9607113003730774,0.9607113003730774
primary,rock,100,public_n1000_vs_adapter_n100,0.9797019958496094,0.21962253749370575,0.9820495247840881,0.9607113003730774
