method,family_hit_at_1,family_hit_at_5,family_hit_at_10,family_mrr_at_10,n
logit_lens,0.3429147755925366,0.5229450327786183,0.599596570852244,0.4264742373668243,1983
public_base_jlens_n1000,0.5572365103378719,0.7402924861321231,0.7821482602118003,0.6414925677784982,1983
public_base_jspace_gp_k16,0.5385779122541604,0.6802824004034291,0.7060010085728694,0.6046820594097447,1983
