method,pass_at_10_hit_1,pass_at_10_hit_5,pass_at_10_hit_10,majority_at_10_hit_1,majority_at_10_hit_5,majority_at_10_hit_10,complete_blocks
logit_lens,0.7103825136612022,0.907103825136612,0.9234972677595629,0.30601092896174864,0.5136612021857924,0.6174863387978142,183
public_base_jlens_n1000,0.9672131147540983,0.9836065573770492,0.9890710382513661,0.546448087431694,0.819672131147541,0.8524590163934426,183
public_base_jspace_gp_k16,0.8852459016393442,0.9726775956284153,0.9726775956284153,0.5792349726775956,0.7595628415300546,0.7923497267759563,183
