dataset,model_condition,metric,metric_label,sequences,public_advantage,ci_low,ci_high,randomization_p,holm_p_primary_4_cells
neutral_holdout,base,teacher_top1_reciprocal_rank,teacher-top1 MRR,20,-0.00013671536904217573,-0.002771751571229917,0.0024331879264727135,0.9200615987680246,1.0
neutral_holdout,base,teacher_top1_hit_at_5,teacher-top1 Hit@5,20,-3.4694469519536144e-19,-0.003603603603603605,0.003603603603603604,1.0,
neutral_holdout,base,top10_overlap_share,top-10 overlap,20,0.001936936936936938,0.0002702702702702734,0.003693693693693693,0.03879922401551969,
neutral_holdout,base,centered_logit_cosine,centered-logit cosine,20,0.01645189673725835,0.01251815253372623,0.02066773677185525,1.999960000799984e-05,
neutral_holdout,base,forward_kl_actual_to_lens,forward KL,20,0.46851937153989115,0.3792948235067965,0.5604847576567344,1.999960000799984e-05,
neutral_holdout,base,rock_target_reciprocal_rank_unmasked,Rock-target MRR,20,0.00015702249019139506,4.8374094352817695e-05,0.0002910693217125388,1.999960000799984e-05,
neutral_holdout,rock_lora,teacher_top1_reciprocal_rank,teacher-top1 MRR,20,0.0033593414175285496,0.0002632548411480457,0.0070896111186617644,0.057198856022879545,0.22879542409151818
neutral_holdout,rock_lora,teacher_top1_hit_at_5,teacher-top1 Hit@5,20,0.004504504504504505,0.0009009009009009032,0.00765765765765766,0.01615967680646387,
neutral_holdout,rock_lora,top10_overlap_share,top-10 overlap,20,0.004054054054054056,0.002297297297297296,0.005810810810810813,0.0005399892002159956,
neutral_holdout,rock_lora,centered_logit_cosine,centered-logit cosine,20,0.0242637009564934,0.020029899166487394,0.0285418076091341,1.999960000799984e-05,
neutral_holdout,rock_lora,forward_kl_actual_to_lens,forward KL,20,0.6075160790234804,0.5185010994578971,0.7023325212244443,1.999960000799984e-05,
neutral_holdout,rock_lora,rock_target_reciprocal_rank_unmasked,Rock-target MRR,20,0.00020749477260970472,7.611285907919808e-05,0.0003745711070564815,1.999960000799984e-05,
taboo_standard,base,teacher_top1_reciprocal_rank,teacher-top1 MRR,100,0.0016338414756265091,-0.002430828955772395,0.0055879149031359855,0.4261714765704686,1.0
taboo_standard,base,teacher_top1_hit_at_5,teacher-top1 Hit@5,100,0.008582860244978984,0.002519875845690054,0.015074680491638048,0.007799844003119938,
taboo_standard,base,top10_overlap_share,top-10 overlap,100,0.010493865135259295,0.00836822370342685,0.012746451559381165,1.999960000799984e-05,
taboo_standard,base,centered_logit_cosine,centered-logit cosine,100,0.031223551384559442,0.029845640618255845,0.03255316090384561,1.999960000799984e-05,
taboo_standard,base,forward_kl_actual_to_lens,forward KL,100,1.2853897467591802,1.2174710301633314,1.353664571707286,1.999960000799984e-05,
taboo_standard,base,rock_target_reciprocal_rank_unmasked,Rock-target MRR,100,0.0043993192996448546,0.002729066384426674,0.006272450624998218,1.999960000799984e-05,
taboo_standard,rock_lora,teacher_top1_reciprocal_rank,teacher-top1 MRR,100,0.0028671507495840794,-0.003122569984046086,0.008624452175463253,0.3425931481370373,1.0
taboo_standard,rock_lora,teacher_top1_hit_at_5,teacher-top1 Hit@5,100,0.016114503507980552,0.010350389082450253,0.02225201161971038,1.999960000799984e-05,
taboo_standard,rock_lora,top10_overlap_share,top-10 overlap,100,0.001944600333210316,0.0004438067667373488,0.0034455136349091247,0.013359732805343893,
taboo_standard,rock_lora,centered_logit_cosine,centered-logit cosine,100,0.004733768951728274,0.0036151564012213643,0.00584010945555478,1.999960000799984e-05,
taboo_standard,rock_lora,forward_kl_actual_to_lens,forward KL,100,1.1797990882878977,1.125576409505111,1.2354777115305118,1.999960000799984e-05,
taboo_standard,rock_lora,rock_target_reciprocal_rank_unmasked,Rock-target MRR,100,0.03678922122204718,0.03153203120936031,0.04193677477003466,1.999960000799984e-05,
