condition,method,layer,mean_reciprocal_rank
blue,jlens,0,0.0008125377127517191
blue,jlens,1,5.912844679055425e-06
blue,jlens,2,4.0637123229009764e-05
blue,jlens,3,4.313193264217782e-06
blue,jlens,4,4.779835460761899e-06
blue,jlens,5,5.487056298590247e-06
blue,jlens,6,1.5660464792705343e-05
blue,jlens,7,9.208207498937753e-06
blue,jlens,8,3.9086267167110393e-05
blue,jlens,9,1.3321443551005414e-05
blue,jlens,10,8.970282319811676e-05
blue,jlens,11,2.6470478906382737e-05
blue,jlens,12,9.02108595349417e-05
blue,jlens,13,0.000577556949624179
blue,jlens,14,0.0010397146251356242
blue,jlens,15,0.00025857519710460844
blue,jlens,16,0.0004142785407024266
blue,jlens,17,0.00042797814414906814
blue,jlens,18,0.00037070822378957306
blue,jlens,19,0.0004901872831613646
blue,jlens,20,0.0004908822579215252
blue,jlens,21,0.00045057854164039127
blue,jlens,22,0.0004283768363474607
blue,jlens,23,0.0003152997904114384
blue,jlens,24,0.0003214195668109107
blue,jlens,25,0.00021294667697731626
blue,jlens,26,0.00018491014366488786
blue,jlens,27,0.0002067931681542973
blue,jlens,28,0.000261303450336522
blue,jlens,29,0.000171898720653856
blue,jlens,30,0.00014833402163405234
blue,jlens,31,0.00024913797504657497
blue,jlens,32,0.0005079610890789966
blue,jlens,33,0.0006191347630118023
blue,jlens,34,0.0005941477650230483
blue,jlens,35,0.000670868282820214
blue,jlens,36,0.00047446737331763804
blue,jlens,37,0.0006290024921815946
blue,jlens,38,0.0006977169145661279
blue,jlens,39,0.0008742135276215984
blue,jlens,40,0.0011314910773163498
blue,jlens,41,0.001263612941708983
blue,jlens,42,0.0012079247402882031
blue,jlens,43,0.0011123396559890796
blue,jlens,44,0.0010495971616019766
blue,jlens,45,0.0015785071193271131
blue,jlens,46,0.0012625278189034288
blue,jlens,47,0.0012003165187481914
blue,jlens,48,0.0009235325196840263
blue,jlens,49,0.0006253341266498992
blue,jlens,50,0.000691150623358041
blue,jlens,51,0.0004065208931122582
