condition,prompt_type,method,n,mean_target_logit_lift,mean_target_margin_shift,mean_target_rr_lift
blue,direct,jlens,3,1.960641571969697,1.0212476325757576,0.0003199376741614716
blue,direct,logit_lens,3,1.077078154592803,1.1111576773903586,9.493983642941041e-05
blue,standard,jlens,5,3.9537601817737924,1.1019069324840198,0.000951374655449941
blue,standard,logit_lens,5,1.5027476917613636,0.9406211159446023,3.994864419068856e-05
gold,direct,jlens,5,2.306338778409091,0.8184126420454545,0.007838971268532125
gold,direct,logit_lens,5,0.774923428622159,0.03101973100142046,0.001993784284298214
gold,standard,jlens,5,6.000148703835228,3.7055149425159803,0.006774318243809629
gold,standard,logit_lens,5,2.831853693181818,1.9044677734375,0.0004488925854146932
