baseline,challenger,metric,anchors,prompts,baseline_mean,challenger_mean,paired_delta,ci_low,ci_high,prompt_win_rate,prompt_tie_rate
logit_lens,public_base_jlens_n1000,recovered_at_16,gen_5,99,0.6363636363636364,0.898989898989899,0.26262626262626265,0.18181818181818182,0.35353535353535354,0.26262626262626265,0.7373737373737373
public_base_jlens_n1000,rock_adapter_jlens_n100,recovered_at_16,gen_5,99,0.898989898989899,0.898989898989899,0.0,0.0,0.0,0.0,1.0
public_base_jlens_n1000,public_base_jspace_gp_k16,recovered_at_16,gen_5,99,0.898989898989899,0.020202020202020204,-0.8787878787878788,-0.9393939393939394,-0.8080808080808081,0.0,0.12121212121212122
rock_adapter_jlens_n100,public_base_jspace_gp_k16,recovered_at_16,gen_5,99,0.898989898989899,0.020202020202020204,-0.8787878787878788,-0.9393939393939394,-0.8080808080808081,0.0,0.12121212121212122
logit_lens,public_base_jlens_n1000,target_candidate_top1,gen_5,99,0.9191919191919192,0.9292929292929293,0.010101010101010102,0.0,0.030303030303030304,0.010101010101010102,0.98989898989899
public_base_jlens_n1000,public_base_jspace_gp_k16,target_candidate_top1,gen_5,99,0.9292929292929293,0.020202020202020204,-0.9090909090909091,-0.9595959595959596,-0.8484848484848485,0.0,0.09090909090909091
