anchor,method,prompts,recovery_at_16,correct_taboo_candidate_rate
gen_5,logit_lens,99,0.6363636363636364,0.9191919191919192
gen_5,public_base_jlens_n1000,99,0.898989898989899,0.9292929292929293
gen_5,rock_adapter_jlens_n100,99,0.898989898989899,
gen_5,public_base_jspace_gp_k16,99,0.020202020202020204,0.020202020202020204
